,score_set,roi_name,subj_id,model_layer,model_layer_index,score,alpha
355,test,psts,4,ReLU-1,1,0.00607163289981638,100000.0
356,test,psts,4,ReLU-2,3,-0.025896411350496577,10000.0
357,test,psts,4,ReLU-3,5,-0.011773700634464703,1000.0
358,test,psts,4,ReLU-4,7,-0.021576619695551517,1000.0
359,test,psts,4,ReLU-5,9,0.005195396189266987,10000.0
360,train,asts,1,Conv2d-1,0,0.016353879891989935,100000.0
361,train,asts,1,Conv2d-2,2,0.006604279161660063,100000.0
362,train,asts,1,Conv2d-3,4,0.00806440745844696,100000.0
363,train,asts,1,Conv2d-4,6,0.010618738340112923,100000.0
364,train,asts,1,Conv2d-5,8,-0.0033731453613246435,100000.0
365,train,asts,1,ReLU-1,1,0.013457929002221425,100000.0
366,train,asts,1,ReLU-2,3,0.017162118938740853,10000.0
367,train,asts,1,ReLU-3,5,0.01708498978853914,1000.0
368,train,asts,1,ReLU-4,7,0.008271031901936933,1000.0
369,train,asts,1,ReLU-5,9,0.032011147981661464,10000.0
370,train,asts,2,Conv2d-1,0,0.0027258479063801576,100000.0
371,train,asts,2,Conv2d-2,2,0.004438060993398498,100000.0
372,train,asts,2,Conv2d-3,4,0.006191246332045737,100000.0
373,train,asts,2,Conv2d-4,6,0.01517504600580483,100000.0
374,train,asts,2,Conv2d-5,8,-0.009997688494281527,100000.0
375,train,asts,2,ReLU-1,1,0.010369776839176496,100000.0
376,train,asts,2,ReLU-2,3,-0.0005224822357190507,10000.0
377,train,asts,2,ReLU-3,5,0.009654897501809562,1000.0
378,train,asts,2,ReLU-4,7,0.014517715417555605,1000.0
379,train,asts,2,ReLU-5,9,0.036162685803855045,10000.0
380,train,asts,3,Conv2d-1,0,0.028115598138028407,100000.0
381,train,asts,3,Conv2d-2,2,0.012799300015043518,100000.0
382,train,asts,3,Conv2d-3,4,0.021504514662007906,100000.0
383,train,asts,3,Conv2d-4,6,0.038777423087049144,100000.0
384,train,asts,3,Conv2d-5,8,0.032322829143715905,100000.0
385,train,asts,3,ReLU-1,1,0.02305755523739237,100000.0
386,train,asts,3,ReLU-2,3,0.025443000786545905,10000.0
387,train,asts,3,ReLU-3,5,0.036921698545477374,1000.0
388,train,asts,3,ReLU-4,7,0.04777774198926476,1000.0
389,train,asts,3,ReLU-5,9,0.06435828152544047,10000.0
390,train,asts,4,Conv2d-1,0,0.0030565541348261302,100000.0
391,train,asts,4,Conv2d-2,2,-0.004803508170123698,100000.0
392,train,asts,4,Conv2d-3,4,0.0002724601090395358,100000.0
393,train,asts,4,Conv2d-4,6,0.011147230094912803,100000.0
394,train,asts,4,Conv2d-5,8,5.519352722163015e-05,100000.0
395,train,asts,4,ReLU-1,1,-0.008790568768352694,100000.0
396,train,asts,4,ReLU-2,3,-0.001405895751157051,10000.0
397,train,asts,4,ReLU-3,5,0.011967558939907027,1000.0
398,train,asts,4,ReLU-4,7,0.005054542569804403,1000.0
399,train,asts,4,ReLU-5,9,0.03893711995142375,10000.0
400,train,eba,1,Conv2d-1,0,0.01769990609769015,100000.0
401,train,eba,1,Conv2d-2,2,0.008876835429964402,100000.0
402,train,eba,1,Conv2d-3,4,0.014286144376030124,100000.0
403,train,eba,1,Conv2d-4,6,0.025753780711751606,100000.0
404,train,eba,1,Conv2d-5,8,0.046288480884444864,100000.0
405,train,eba,1,ReLU-1,1,0.015135699624451365,100000.0
406,train,eba,1,ReLU-2,3,0.024182139031070644,10000.0
407,train,eba,1,ReLU-3,5,0.028466359278399123,1000.0
408,train,eba,1,ReLU-4,7,0.04818312811681906,1000.0
409,train,eba,1,ReLU-5,9,0.0462083448721561,10000.0
410,train,eba,2,Conv2d-1,0,0.041664282771577535,100000.0
411,train,eba,2,Conv2d-2,2,0.023268089619983737,100000.0
