,score_set,roi_name,subj_id,model_layer,model_layer_index,score
340,train,loc,1,ResidualAttentionBlock-7,3,0.03943661537597366
341,train,loc,1,ResidualAttentionBlock-9,4,0.03184914886720489
342,train,loc,2,ResidualAttentionBlock-1,0,0.038849583770288465
343,train,loc,2,ResidualAttentionBlock-11,5,0.041785918918135365
344,train,loc,2,ResidualAttentionBlock-3,1,0.046890169650577865
345,train,loc,2,ResidualAttentionBlock-5,2,0.05666851247793564
346,train,loc,2,ResidualAttentionBlock-7,3,0.039017965592442846
347,train,loc,2,ResidualAttentionBlock-9,4,0.029439063481919638
348,train,loc,3,ResidualAttentionBlock-1,0,0.04566641252910679
349,train,loc,3,ResidualAttentionBlock-11,5,0.03814481178740521
350,train,loc,3,ResidualAttentionBlock-3,1,0.05505124991880371
351,train,loc,3,ResidualAttentionBlock-5,2,0.05820389665616099
352,train,loc,3,ResidualAttentionBlock-7,3,0.03167716930672006
353,train,loc,3,ResidualAttentionBlock-9,4,0.021670520281113114
354,train,loc,4,ResidualAttentionBlock-1,0,0.041625265861497326
355,train,loc,4,ResidualAttentionBlock-11,5,0.03526416554799068
356,train,loc,4,ResidualAttentionBlock-3,1,0.04699923351516681
357,train,loc,4,ResidualAttentionBlock-5,2,0.05887154363960776
358,train,loc,4,ResidualAttentionBlock-7,3,0.036350540685265845
359,train,loc,4,ResidualAttentionBlock-9,4,0.02416551330623651
360,train,mt,1,ResidualAttentionBlock-1,0,0.02244719346056239
361,train,mt,1,ResidualAttentionBlock-11,5,0.039473429411911495
362,train,mt,1,ResidualAttentionBlock-3,1,0.030552091148703296
363,train,mt,1,ResidualAttentionBlock-5,2,0.04430446198620623
364,train,mt,1,ResidualAttentionBlock-7,3,0.04463238475543341
365,train,mt,1,ResidualAttentionBlock-9,4,0.03404176363035769
366,train,mt,2,ResidualAttentionBlock-1,0,0.024391686000388577
367,train,mt,2,ResidualAttentionBlock-11,5,0.02354950191663201
368,train,mt,2,ResidualAttentionBlock-3,1,0.03528588978398743
369,train,mt,2,ResidualAttentionBlock-5,2,0.04106229337625998
370,train,mt,2,ResidualAttentionBlock-7,3,0.02120438643746092
371,train,mt,2,ResidualAttentionBlock-9,4,0.013754418286453676
372,train,mt,3,ResidualAttentionBlock-1,0,0.05167040435651058
373,train,mt,3,ResidualAttentionBlock-11,5,0.08684737697955533
374,train,mt,3,ResidualAttentionBlock-3,1,0.08304938141068181
375,train,mt,3,ResidualAttentionBlock-5,2,0.10118516268799234
376,train,mt,3,ResidualAttentionBlock-7,3,0.08905673386792907
377,train,mt,3,ResidualAttentionBlock-9,4,0.08886801859248335
378,train,mt,4,ResidualAttentionBlock-1,0,0.06583586955139574
379,train,mt,4,ResidualAttentionBlock-11,5,0.10303446681712955
380,train,mt,4,ResidualAttentionBlock-3,1,0.10058709122914991
381,train,mt,4,ResidualAttentionBlock-5,2,0.12063946205078172
382,train,mt,4,ResidualAttentionBlock-7,3,0.1076180855315684
383,train,mt,4,ResidualAttentionBlock-9,4,0.1050121116580813
