,score_set,roi_name,subj_id,model_layer,model_layer_index,score
347,test,psts,3,ReLU-3,5,0.046965363190932266
348,test,psts,3,ReLU-4,7,0.03966773323225257
349,test,psts,3,ReLU-5,9,0.06659660974004028
350,test,psts,4,Conv2d-1,0,0.005942845958756571
351,test,psts,4,Conv2d-2,2,0.0024540828279821943
352,test,psts,4,Conv2d-3,4,0.0061412582608048084
353,test,psts,4,Conv2d-4,6,0.01954258004014825
354,test,psts,4,Conv2d-5,8,0.013823185619457473
355,test,psts,4,ReLU-1,1,0.004809788920150706
356,test,psts,4,ReLU-2,3,0.015318150904764299
357,test,psts,4,ReLU-3,5,0.022943025623240416
358,test,psts,4,ReLU-4,7,0.020529599312799154
359,test,psts,4,ReLU-5,9,0.03724967433441642
360,train,asts,1,Conv2d-1,0,0.010050828241589755
361,train,asts,1,Conv2d-2,2,0.0024786500327554665
362,train,asts,1,Conv2d-3,4,0.00440942600497059
363,train,asts,1,Conv2d-4,6,0.00959023491501309
364,train,asts,1,Conv2d-5,8,0.004256639833554096
365,train,asts,1,ReLU-1,1,0.011411630729890423
366,train,asts,1,ReLU-2,3,0.010744434303645774
367,train,asts,1,ReLU-3,5,0.012596890000922085
368,train,asts,1,ReLU-4,7,0.009597444217404924
369,train,asts,1,ReLU-5,9,0.028843625529789522
370,train,asts,2,Conv2d-1,0,0.011017531005032812
371,train,asts,2,Conv2d-2,2,0.01303281084883492
372,train,asts,2,Conv2d-3,4,0.00976028785709186
373,train,asts,2,Conv2d-4,6,0.013905620168573846
374,train,asts,2,Conv2d-5,8,0.007060776873160439
375,train,asts,2,ReLU-1,1,0.015278672428247259
376,train,asts,2,ReLU-2,3,0.011194960006057023
377,train,asts,2,ReLU-3,5,0.021575735333147168
378,train,asts,2,ReLU-4,7,0.017029771161365344
379,train,asts,2,ReLU-5,9,0.03330560935126878
380,train,asts,3,Conv2d-1,0,0.01666414850654118
381,train,asts,3,Conv2d-2,2,0.021717158133267144
382,train,asts,3,Conv2d-3,4,0.022993315424562552
383,train,asts,3,Conv2d-4,6,0.028010072382474504
384,train,asts,3,Conv2d-5,8,0.02772189117308017
385,train,asts,3,ReLU-1,1,0.023936809466624725
386,train,asts,3,ReLU-2,3,0.02612327210719128
387,train,asts,3,ReLU-3,5,0.026875237731714817
388,train,asts,3,ReLU-4,7,0.032777805577015255
389,train,asts,3,ReLU-5,9,0.05141279036423966
390,train,asts,4,Conv2d-1,0,0.0007191699132080889
391,train,asts,4,Conv2d-2,2,0.0005484560892954902
392,train,asts,4,Conv2d-3,4,0.0011672216785527311
393,train,asts,4,Conv2d-4,6,0.009560809266430567
394,train,asts,4,Conv2d-5,8,0.00535972043967144
395,train,asts,4,ReLU-1,1,-0.00014665273735624257
396,train,asts,4,ReLU-2,3,0.002357683564209655
397,train,asts,4,ReLU-3,5,0.013714516452627815
398,train,asts,4,ReLU-4,7,0.009513512856555545
399,train,asts,4,ReLU-5,9,0.028133930784386602
400,train,eba,1,Conv2d-1,0,0.007884670908410173
401,train,eba,1,Conv2d-2,2,0.005639396324334295
402,train,eba,1,Conv2d-3,4,0.014808878670124051
403,train,eba,1,Conv2d-4,6,0.024433427982329052
404,train,eba,1,Conv2d-5,8,0.04369605282449453
405,train,eba,1,ReLU-1,1,0.010859103732482335
406,train,eba,1,ReLU-2,3,0.027119868232639777
407,train,eba,1,ReLU-3,5,0.022399517583583918
408,train,eba,1,ReLU-4,7,0.03999793297042777
409,train,eba,1,ReLU-5,9,0.04165260460252097
410,train,eba,2,Conv2d-1,0,0.02000996576318596
411,train,eba,2,Conv2d-2,2,0.027838226424076636
412,train,eba,2,Conv2d-3,4,0.03156458846234868
413,train,eba,2,Conv2d-4,6,0.048936300952952025
414,train,eba,2,Conv2d-5,8,0.05576867608035444
415,train,eba,2,ReLU-1,1,0.02418145912019856
416,train,eba,2,ReLU-2,3,0.0387081168085262
417,train,eba,2,ReLU-3,5,0.05849144862570728
418,train,eba,2,ReLU-4,7,0.06817058649611399
419,train,eba,2,ReLU-5,9,0.0924996080998258
420,train,eba,3,Conv2d-1,0,0.030425982948425863
421,train,eba,3,Conv2d-2,2,0.042790160864043636
422,train,eba,3,Conv2d-3,4,0.05351163998917695
423,train,eba,3,Conv2d-4,6,0.06982164476945958
424,train,eba,3,Conv2d-5,8,0.0770491437007009
425,train,eba,3,ReLU-1,1,0.040409559013260134
426,train,eba,3,ReLU-2,3,0.07200172869635062
427,train,eba,3,ReLU-3,5,0.07302697877512769
428,train,eba,3,ReLU-4,7,0.08995965815435705
429,train,eba,3,ReLU-5,9,0.11337873530165665
430,train,eba,4,Conv2d-1,0,0.010855146239443508
431,train,eba,4,Conv2d-2,2,0.006706931872949393
432,train,eba,4,Conv2d-3,4,0.016335574030653173
433,train,eba,4,Conv2d-4,6,0.022753267877071527
434,train,eba,4,Conv2d-5,8,0.030913969894475764
435,train,eba,4,ReLU-1,1,0.0052544451122316285
436,train,eba,4,ReLU-2,3,0.021879387670742125
437,train,eba,4,ReLU-3,5,0.02825302358651613
438,train,eba,4,ReLU-4,7,0.0336461778061811
439,train,eba,4,ReLU-5,9,0.04445879865807338
440,train,evc,1,Conv2d-1,0,-0.010826002437062388
441,train,evc,1,Conv2d-2,2,0.011017535301084836
442,train,evc,1,Conv2d-3,4,0.02698728426336166
443,train,evc,1,Conv2d-4,6,0.02267846787508858
444,train,evc,1,Conv2d-5,8,0.022757786924982388
445,train,evc,1,ReLU-1,1,0.023638178403380842
446,train,evc,1,ReLU-2,3,0.04880733027828394
447,train,evc,1,ReLU-3,5,0.019422555022746618
448,train,evc,1,ReLU-4,7,0.02189630622679668
449,train,evc,1,ReLU-5,9,0.008070757734683636
450,train,evc,2,Conv2d-1,0,-0.012595063104798567
451,train,evc,2,Conv2d-2,2,0.010718316828525531
452,train,evc,2,Conv2d-3,4,0.028501901007743802
453,train,evc,2,Conv2d-4,6,0.03102540328014373
454,train,evc,2,Conv2d-5,8,0.03381601811117672
455,train,evc,2,ReLU-1,1,0.0366228811543875
456,train,evc,2,ReLU-2,3,0.06877876255269012
457,train,evc,2,ReLU-3,5,0.033157832126959615
458,train,evc,2,ReLU-4,7,0.03630767620347143
459,train,evc,2,ReLU-5,9,0.026578056216363565
460,train,evc,3,Conv2d-1,0,-0.004108279293073542
461,train,evc,3,Conv2d-2,2,0.034863369399851164
462,train,evc,3,Conv2d-3,4,0.039779789882047584
463,train,evc,3,Conv2d-4,6,0.039130696509432905
464,train,evc,3,Conv2d-5,8,0.040033574108363904
465,train,evc,3,ReLU-1,1,0.04543871341408557
466,train,evc,3,ReLU-2,3,0.07581701016171412
467,train,evc,3,ReLU-3,5,0.03969328213075409
468,train,evc,3,ReLU-4,7,0.04367010373502253
