,score_set,roi_name,subj_id,model_layer,model_layer_index,score,alpha
167,test,mt,4,ResidualAttentionBlock-9,4,0.44251209637602457,10000.0
168,test,ppa,1,ResidualAttentionBlock-1,0,0.23228023310107598,10000.0
169,test,ppa,1,ResidualAttentionBlock-11,5,0.23102369940172104,10000.0
170,test,ppa,1,ResidualAttentionBlock-3,1,0.2595891638419979,1000.0
171,test,ppa,1,ResidualAttentionBlock-5,2,0.27461011100129507,1000.0
172,test,ppa,1,ResidualAttentionBlock-7,3,0.19559616936608024,10000.0
173,test,ppa,1,ResidualAttentionBlock-9,4,0.1903774028860362,10000.0
174,test,ppa,2,ResidualAttentionBlock-1,0,0.2083342523068427,10000.0
175,test,ppa,2,ResidualAttentionBlock-11,5,0.2362754857104782,10000.0
176,test,ppa,2,ResidualAttentionBlock-3,1,0.18090716024289225,1000.0
177,test,ppa,2,ResidualAttentionBlock-5,2,0.30744250704908105,1000.0
178,test,ppa,2,ResidualAttentionBlock-7,3,0.20333256502849154,10000.0
179,test,ppa,2,ResidualAttentionBlock-9,4,0.23192381214402952,10000.0
180,test,ppa,3,ResidualAttentionBlock-1,0,0.16817484274932432,10000.0
181,test,ppa,3,ResidualAttentionBlock-11,5,0.22390371096295988,10000.0
182,test,ppa,3,ResidualAttentionBlock-3,1,0.10455604602596955,1000.0
183,test,ppa,3,ResidualAttentionBlock-5,2,0.22396094061248015,1000.0
184,test,ppa,3,ResidualAttentionBlock-7,3,0.1533209266641439,10000.0
185,test,ppa,3,ResidualAttentionBlock-9,4,0.1343392740619232,10000.0
186,test,ppa,4,ResidualAttentionBlock-1,0,0.2636947792484866,10000.0
187,test,ppa,4,ResidualAttentionBlock-11,5,0.3037490553706721,10000.0
188,test,ppa,4,ResidualAttentionBlock-3,1,0.30943542490523995,1000.0
189,test,ppa,4,ResidualAttentionBlock-5,2,0.33008221451838227,1000.0
190,test,ppa,4,ResidualAttentionBlock-7,3,0.22941397643019443,10000.0
191,test,ppa,4,ResidualAttentionBlock-9,4,0.24510442855883924,10000.0
192,test,psts,1,ResidualAttentionBlock-1,0,0.017225558075690966,10000.0
193,test,psts,1,ResidualAttentionBlock-11,5,0.014445105419811166,10000.0
194,test,psts,1,ResidualAttentionBlock-3,1,-0.0004352457464970816,1000.0
195,test,psts,1,ResidualAttentionBlock-5,2,0.012858504925980386,1000.0
196,test,psts,1,ResidualAttentionBlock-7,3,0.0019388187433171029,10000.0
197,test,psts,1,ResidualAttentionBlock-9,4,0.0024774328891199572,10000.0
198,test,psts,2,ResidualAttentionBlock-1,0,0.06505732131507322,10000.0
199,test,psts,2,ResidualAttentionBlock-11,5,0.07231065342114176,10000.0
200,test,psts,2,ResidualAttentionBlock-3,1,0.08214520658065108,1000.0
201,test,psts,2,ResidualAttentionBlock-5,2,0.09193437960184783,1000.0
202,test,psts,2,ResidualAttentionBlock-7,3,0.06351457867919927,10000.0
203,test,psts,2,ResidualAttentionBlock-9,4,0.050332667567475654,10000.0
204,test,psts,3,ResidualAttentionBlock-1,0,0.1242423171939164,10000.0
205,test,psts,3,ResidualAttentionBlock-11,5,0.025974937752767758,10000.0
206,test,psts,3,ResidualAttentionBlock-3,1,0.055347256298276935,1000.0
207,test,psts,3,ResidualAttentionBlock-5,2,0.0990546259685098,1000.0
208,test,psts,3,ResidualAttentionBlock-7,3,0.0696647076368279,10000.0
209,test,psts,3,ResidualAttentionBlock-9,4,0.01301030813912985,10000.0
210,test,psts,4,ResidualAttentionBlock-1,0,0.02762858432857891,10000.0
211,test,psts,4,ResidualAttentionBlock-11,5,0.0495468573445033,10000.0
212,test,psts,4,ResidualAttentionBlock-3,1,0.005576401215447303,1000.0
213,test,psts,4,ResidualAttentionBlock-5,2,0.03541737475672278,1000.0
214,test,psts,4,ResidualAttentionBlock-7,3,0.041348583615484116,10000.0
215,test,psts,4,ResidualAttentionBlock-9,4,0.03224900359543908,10000.0
216,train,asts,1,ResidualAttentionBlock-1,0,0.02560448134280096,10000.0
217,train,asts,1,ResidualAttentionBlock-11,5,0.02110066015629781,10000.0
218,train,asts,1,ResidualAttentionBlock-3,1,0.018244406630901867,1000.0
219,train,asts,1,ResidualAttentionBlock-5,2,0.017961364116616065,1000.0
220,train,asts,1,ResidualAttentionBlock-7,3,0.008518107010394169,10000.0
221,train,asts,1,ResidualAttentionBlock-9,4,0.007565818201176834,10000.0
222,train,asts,2,ResidualAttentionBlock-1,0,0.002521054460320699,10000.0
223,train,asts,2,ResidualAttentionBlock-11,5,0.017794535383738475,10000.0
224,train,asts,2,ResidualAttentionBlock-3,1,0.004587156213583762,1000.0
225,train,asts,2,ResidualAttentionBlock-5,2,0.018694487370074495,1000.0
226,train,asts,2,ResidualAttentionBlock-7,3,0.003591864181315318,10000.0
227,train,asts,2,ResidualAttentionBlock-9,4,0.006909901452511596,10000.0
228,train,asts,3,ResidualAttentionBlock-1,0,0.031240583025537172,10000.0
229,train,asts,3,ResidualAttentionBlock-11,5,0.05535310754801348,10000.0
230,train,asts,3,ResidualAttentionBlock-3,1,0.032854556937019816,1000.0
231,train,asts,3,ResidualAttentionBlock-5,2,0.04945477959120422,1000.0
232,train,asts,3,ResidualAttentionBlock-7,3,0.0321937225113623,10000.0
233,train,asts,3,ResidualAttentionBlock-9,4,0.03287445941839506,10000.0
234,train,asts,4,ResidualAttentionBlock-1,0,-0.0007403852804431515,10000.0
235,train,asts,4,ResidualAttentionBlock-11,5,0.022583122081262445,10000.0
236,train,asts,4,ResidualAttentionBlock-3,1,-0.0016918850830894131,1000.0
237,train,asts,4,ResidualAttentionBlock-5,2,0.013332498693065234,1000.0
238,train,asts,4,ResidualAttentionBlock-7,3,0.00033037828714564953,10000.0
239,train,asts,4,ResidualAttentionBlock-9,4,0.008377589485458475,10000.0
240,train,eba,1,ResidualAttentionBlock-1,0,0.016327971468078805,10000.0
241,train,eba,1,ResidualAttentionBlock-11,5,0.03778543145126932,10000.0
242,train,eba,1,ResidualAttentionBlock-3,1,0.019944132188521653,1000.0
243,train,eba,1,ResidualAttentionBlock-5,2,0.03961016791538332,1000.0
244,train,eba,1,ResidualAttentionBlock-7,3,0.019521159078166764,10000.0
245,train,eba,1,ResidualAttentionBlock-9,4,0.018515195520895297,10000.0
246,train,eba,2,ResidualAttentionBlock-1,0,0.04601345315198595,10000.0
247,train,eba,2,ResidualAttentionBlock-11,5,0.06383149239378036,10000.0
248,train,eba,2,ResidualAttentionBlock-3,1,0.051744344625658814,1000.0
249,train,eba,2,ResidualAttentionBlock-5,2,0.07179391369953111,1000.0
250,train,eba,2,ResidualAttentionBlock-7,3,0.052093268855113714,10000.0
251,train,eba,2,ResidualAttentionBlock-9,4,0.04520398125724999,10000.0
252,train,eba,3,ResidualAttentionBlock-1,0,0.06162260480477709,10000.0
253,train,eba,3,ResidualAttentionBlock-11,5,0.12165198829864066,10000.0
254,train,eba,3,ResidualAttentionBlock-3,1,0.09077143072488877,1000.0
255,train,eba,3,ResidualAttentionBlock-5,2,0.13688856956594367,1000.0
256,train,eba,3,ResidualAttentionBlock-7,3,0.09069221548692315,10000.0
257,train,eba,3,ResidualAttentionBlock-9,4,0.08166385277921728,10000.0
258,train,eba,4,ResidualAttentionBlock-1,0,0.005401180072805084,10000.0
259,train,eba,4,ResidualAttentionBlock-11,5,0.010236118542034964,10000.0
260,train,eba,4,ResidualAttentionBlock-3,1,0.01249203940072991,1000.0
261,train,eba,4,ResidualAttentionBlock-5,2,0.012698323552353055,1000.0
262,train,eba,4,ResidualAttentionBlock-7,3,0.005341294111625027,10000.0
263,train,eba,4,ResidualAttentionBlock-9,4,0.008702135189294635,10000.0
264,train,evc,1,ResidualAttentionBlock-1,0,0.05074138301170472,10000.0
265,train,evc,1,ResidualAttentionBlock-11,5,0.11175723630580174,10000.0
266,train,evc,1,ResidualAttentionBlock-3,1,0.0877559374320217,1000.0
267,train,evc,1,ResidualAttentionBlock-5,2,0.12247348401736821,1000.0
268,train,evc,1,ResidualAttentionBlock-7,3,0.11519736181772773,10000.0
269,train,evc,1,ResidualAttentionBlock-9,4,0.11381389393618283,10000.0
270,train,evc,2,ResidualAttentionBlock-1,0,0.05107167952809466,10000.0
271,train,evc,2,ResidualAttentionBlock-11,5,0.19166708942877758,10000.0
272,train,evc,2,ResidualAttentionBlock-3,1,0.12279795005066303,1000.0
273,train,evc,2,ResidualAttentionBlock-5,2,0.16360663460640507,1000.0
274,train,evc,2,ResidualAttentionBlock-7,3,0.1617295145852673,10000.0
275,train,evc,2,ResidualAttentionBlock-9,4,0.19976011480455974,10000.0
276,train,evc,3,ResidualAttentionBlock-1,0,0.05478655685492325,10000.0
277,train,evc,3,ResidualAttentionBlock-11,5,0.12283063134169384,10000.0
278,train,evc,3,ResidualAttentionBlock-3,1,0.09771628993753645,1000.0
279,train,evc,3,ResidualAttentionBlock-5,2,0.12757645259168457,1000.0
280,train,evc,3,ResidualAttentionBlock-7,3,0.10465992282324224,10000.0
281,train,evc,3,ResidualAttentionBlock-9,4,0.1157588974986274,10000.0
282,train,evc,4,ResidualAttentionBlock-1,0,0.10101546205599758,10000.0
283,train,evc,4,ResidualAttentionBlock-11,5,0.13795314956370547,10000.0
284,train,evc,4,ResidualAttentionBlock-3,1,0.13762747972159162,1000.0
285,train,evc,4,ResidualAttentionBlock-5,2,0.15178914201017643,1000.0
286,train,evc,4,ResidualAttentionBlock-7,3,0.11775311995189579,10000.0
287,train,evc,4,ResidualAttentionBlock-9,4,0.12881162558747883,10000.0
288,train,face,1,ResidualAttentionBlock-1,0,0.04538628227513701,10000.0
289,train,face,1,ResidualAttentionBlock-11,5,0.07667306240634424,10000.0
290,train,face,1,ResidualAttentionBlock-3,1,0.05808075898227977,1000.0
291,train,face,1,ResidualAttentionBlock-5,2,0.08669493132973484,1000.0
292,train,face,1,ResidualAttentionBlock-7,3,0.049235667113377984,10000.0
293,train,face,1,ResidualAttentionBlock-9,4,0.06681331405067252,10000.0
294,train,face,2,ResidualAttentionBlock-1,0,0.018090423263834365,10000.0
295,train,face,2,ResidualAttentionBlock-11,5,0.02050974288233934,10000.0
296,train,face,2,ResidualAttentionBlock-3,1,0.020915376373397323,1000.0
297,train,face,2,ResidualAttentionBlock-5,2,0.01632581552865465,1000.0
298,train,face,2,ResidualAttentionBlock-7,3,0.015363592262389422,10000.0
299,train,face,2,ResidualAttentionBlock-9,4,0.016856624314334368,10000.0
300,train,face,3,ResidualAttentionBlock-1,0,0.06997457742062387,10000.0
301,train,face,3,ResidualAttentionBlock-11,5,0.10729073362882438,10000.0
302,train,face,3,ResidualAttentionBlock-3,1,0.0839784687110812,1000.0
303,train,face,3,ResidualAttentionBlock-5,2,0.13800783755848595,1000.0
304,train,face,3,ResidualAttentionBlock-7,3,0.09325143726055996,10000.0
305,train,face,3,ResidualAttentionBlock-9,4,0.09291169018653911,10000.0
306,train,face,4,ResidualAttentionBlock-1,0,0.011198701264477272,10000.0
307,train,face,4,ResidualAttentionBlock-11,5,0.022281462260526297,10000.0
308,train,face,4,ResidualAttentionBlock-3,1,0.004634795207952723,1000.0
309,train,face,4,ResidualAttentionBlock-5,2,0.011885530667133161,1000.0
310,train,face,4,ResidualAttentionBlock-7,3,0.002374927281491781,10000.0
311,train,face,4,ResidualAttentionBlock-9,4,0.004607923800191037,10000.0
312,train,ffa,1,ResidualAttentionBlock-1,0,0.09225633632447537,10000.0
313,train,ffa,1,ResidualAttentionBlock-11,5,0.10317594734807242,10000.0
314,train,ffa,1,ResidualAttentionBlock-3,1,0.11447423859208519,1000.0
315,train,ffa,1,ResidualAttentionBlock-5,2,0.1598383285481368,1000.0
316,train,ffa,1,ResidualAttentionBlock-7,3,0.0991715907196151,10000.0
317,train,ffa,1,ResidualAttentionBlock-9,4,0.09199139601137274,10000.0
318,train,ffa,2,ResidualAttentionBlock-1,0,0.12790575372308238,10000.0
319,train,ffa,2,ResidualAttentionBlock-11,5,0.14544154560504108,10000.0
320,train,ffa,2,ResidualAttentionBlock-3,1,0.1514597621084957,1000.0
321,train,ffa,2,ResidualAttentionBlock-5,2,0.20364090556379408,1000.0
322,train,ffa,2,ResidualAttentionBlock-7,3,0.13765588617147997,10000.0
323,train,ffa,2,ResidualAttentionBlock-9,4,0.13034522985677507,10000.0
324,train,ffa,3,ResidualAttentionBlock-1,0,0.12007571573975646,10000.0
325,train,ffa,3,ResidualAttentionBlock-11,5,0.12576457246323985,10000.0
326,train,ffa,3,ResidualAttentionBlock-3,1,0.12693811157375534,1000.0
327,train,ffa,3,ResidualAttentionBlock-5,2,0.15933521121821462,1000.0
328,train,ffa,3,ResidualAttentionBlock-7,3,0.11807021548872296,10000.0
